RLB batch catalog #	Box, grid, level	preparation at LBTP	Gill temporary #	identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	Habitat Type	Obtain reference sample	any other notes	Reference 	Image(s) Taken	Aisling questions
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-001	Juniperus sp.	465.5	seeds	Previously identified as Juniperus californica (6/4/19)	LACMP23-36004		yes	(whole and fragments) Community:Pinyon-Juniper Woodland, Joshua Tree Woodland, Foothill Woodland, Habitat: slopes,	Barkley pg. 126, Calflora	33461_JG_1_Juniperus californica	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-002	Quercus lobata	3	cap fragments		LACMP23-36005		yes		(https://ucanr.edu/sites/oak_range/Californias_Rangeland_Oak_Species/Valley_Oak/)	33461_JG_2_Quercus douglasii	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-003	Rhamnus ilicifolia	1	seeds	Previously identified as Eriogonum sp. (7/1/19)	LACMP23-36006		yes		seed samples	33461_JG_3_Eriogonum	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-004	Juniperus californica	4	seeds	Previously identified as Polygonum sp. (6/4/19)	LACMP23-36007		no		Barkley pg. 151	33461_JG_4_Fagopyrum	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-005	Arctostaphylos glandulosa	2	seeds	Previously identified as Polygonaceae (6/4/19)	LACMP23-36008		no		Seed samples	33461_JG_5_Polygonaceae	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-006		4	poop		not cataloging now-lots more at LBTP			2 poop			
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-007	Ambrosia psilostachya	0.5	seed fragment		LACMP23-36009		yes		Bekker pg. 194	33461_JG_7_Poaceae	OK
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-008	Platanus racemosa 	1	seed	Previously identified as Asteraceae (6/4/19)	LACMP23-36010		no		USDA, seed samples	33461_JG_8_Asteraceae	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-009	Cyperaceae	1	seed	Previously identified as Asteraceae (6/4/19)	LACMP23-36011		no	ray achene	Botany in a Day pg. 163	33461_JG_9_Asteraceae	
P23-33461	Box 1 grid B-2 level 2	cold soaked npropyl bromide only	33461_JG-010	Juniperus californica	1	seed	Previously identified as Polygonum sp. (6/4/19)	LACMP23-36012		no	fragment	Bekker pg. 194	33461_JG_10_Polygonaceae	
